"userid","user_type","country","age","gender","device","genre","spendingsegment","total_sessions","avg_ssesion_length","total_revenue","arppu","days_to_first_purchase","last_purchase_date","paymentmethod","revenue_by_payment","avg_check_by_payment"
c9889ab0-9cfc-4a75-acd9-5eab1df0015c,Payer,Norway,49.0,Male,Android,Battle Royale,Minnow,9,12.83,11.4,102.62,28.0,"2025-03-19",Apple Pay,30628.416,81.89
"7c9e413c-ecca-45f2-a780-2826a07952a2",Payer,Switzerland,15.0,Male,iOS,Action RPG,Minnow,11,19.39,6.37,102.62,18.0,"2025-06-08",Debit Card,55909.54,129.12
fd61e419-1a92-4f43-a8c7-135842ad328a,Payer,China,23.0,Male,Android,Fighting,Minnow,9,8.87,15.81,102.62,30.0,"2025-06-02",Apple Pay,30628.416,81.89
bdb7f6d1-ff9a-468c-afe7-43f32a94293e,Payer,Mexico,31.0,Male,Android,Racing,Minnow,12,19.56,13.49,102.62,9.0,"2025-04-01",Debit Card,55909.54,129.12
aa7eec14-4846-47b9-b879-9c98038cda04,Payer,India,37.0,Female,Android,Battle Royale,Minnow,10,15.23,10.86,102.62,15.0,"2025-05-05",Paypal,48349.504,120.87
"992232c1-a563-4986-aa8b-b70d687d374f",Payer,China,38.0,Female,Android,Fighting,Dolphin,16,25.97,150.51,102.62,28.0,"2025-05-05",Google Pay,38505.926,89.34
"702bafd0-9a08-4269-801e-faf32f9f3ca5",Payer,Italy,20.0,Female,Android,Simulation,Whale,9,10.98,608.21,102.62,24.0,"2025-06-04",Debit Card,55909.54,129.12
fc470ea9-111f-4637-a9ff-7162d81e2ec3,Payer,Denmark,34.0,Female,iOS,"",Minnow,15,5.06,19.17,102.62,30.0,"2025-04-26",Gift Card,43928.48,104.10
"9b2efc1e-cd4b-48ab-b893-438d57855efa",Payer,Japan,38.0,Male,Android,Action RPG,Minnow,10,21.82,11.52,102.62,1.0,"2025-04-08",Paypal,48349.504,120.87
"25723b60-ea5b-4aff-9f23-97fdf5e98c58",Payer,Russia,46.0,Male,iOS,Battle Royale,Minnow,18,16.36,7.76,102.62,19.0,"2025-02-03",Google Pay,38505.926,89.34
"2bb44e49-c28d-4023-ac75-33d92cb77870",Payer,Switzerland,29.0,Male,iOS,MMORPG,Minnow,18,27.15,13.44,102.62,12.0,"2025-05-06",Debit Card,55909.54,129.12
a516f724-6b0f-438c-b20b-59f5f35ab06a,Non-payer,Sweden,31.0,Male,Android,Simulation,Dolphin,10,31.10,0.0,0,,"","",0.0,
f72780cf-bccf-4ae5-8c12-09ee9d511322,Payer,Australia,30.0,Female,Android,Role Playing,Minnow,11,20.97,6.06,102.62,28.0,"2025-07-26",Gift Card,43928.48,104.10
"659f30ff-48f1-4e76-8f82-312d98e1ba76",Payer,Turkey,24.0,Male,Android,Fighting,Minnow,12,28.71,5.9,102.62,27.0,"2025-08-06",Carrier Billing,41372.87,99.22
"34c56aa2-33c0-40c0-af9b-6c5b45929851",Payer,South Korea,21.0,Male,iOS,Sports,Minnow,12,7.62,13.78,102.62,20.0,"2025-06-28",Gift Card,43928.48,104.10
ae1ccfa2-8967-4981-be8f-a5c3b0f9f394,Payer,Switzerland,35.0,Male,Android,Action RPG,Minnow,10,29.72,6.9,102.62,1.0,"2025-01-19",Apple Pay,30628.416,81.89
bb0cf750-9fd2-4329-acc8-dc40dedaff3d,Payer,Japan,37.0,Female,iOS,Card,Minnow,13,5.39,6.17,102.62,11.0,"2025-06-07",Gift Card,43928.48,104.10
cf1326be-4810-4b4d-bbc9-ff7b8c22d5ab,Payer,Saudi Arabia,45.0,Male,Android,Sandbox,Minnow,11,10.66,11.83,102.62,16.0,"2025-02-14",Paypal,48349.504,120.87
"784fa153-301d-4286-adf5-3459e04e8a97",Payer,Sri Lanka,14.0,Female,iOS,Racing,Whale,10,33.44,3454.51,102.62,22.0,"2025-01-01",Carrier Billing,41372.87,99.22
"9f1bd962-1ace-403e-aabb-eda9bd08e999",Payer,Sweden,47.0,Female,iOS,Fighting,Minnow,10,14.48,13.4,102.62,19.0,"2025-03-13",Credit Card,37564.64,91.62
